Categories,English,
Business,Company competitiveness / competitive behavior / competitive behaviors / fair competition / fair competition / anti-competitive behaviour / anti-competitive behaviours,
,Economic performance / Economic performances / Economical performance / Economic performances,
,Long term viability of core business / Long term viability of core businesses / Long term viabilities of core business / Long term viabilities of core businesses,
,Market presence,
,New markets / emerging economies / new market / emerging economy,
,Corporate governance / organizational governance / Corporate governances / organizational governances,
,Response to organizational change / Response to organizational changes / Responses to organizational change / Responses to organizational changes,
,Board structure / Board structures / Board independence,
,Gender participation on governance bodies,
,Executive compensation,
,Business ethics,
,Regulatory compliance / Regulatory compliances,
,Environmental compliance / Environmental compliances,
,Regulatory challenge / Legal challenge / Regulatory challenges / Legal challenges,
,Communications and engagement / Communication and engagement,
,Shareholder engagement / Stakeholder engagement / Shareholder Expectation / Stakeholder Expectation,
,Innovation / Innovations,
,Innovation management process / Innovation management processes,
,Sustainable innovations / Sustainable innovation,
,Circular economy / Circular economies,
,Green entrepreneurial culture / Green entrepreneurial cultures,
,Bio-based economy / Bio-based economies,
,Investments and research / Investment and research / Investments and researches,
,Application of biotechnology / Application of biotechnologies,
,Educating customers / educating consumers / educating consumer / educating customer,
HR/ Labor relations,Employee health / employee safety,
,Occupational health / safety risks / safety risk,
,Labor management systems / Labor management system,
,Employee well-being / employee wellness,
,Work-life balance,
,Labor relations / union practices / social dialogue / labor relation / union practice / social dialogues,
,Freedom of association / collective bargaining,
,Conditions of work / social protection / condition of work / social protections,
,Strike / lock-out / labour unrest / strikes / lock-outs / labour unrests,
,Diversity opportunity / equal opportunity / Diversity opportunities / equal opportunities,
,Employee retention / Employee turnover / Employee retentions / Employee turnovers,
,Employee recognition,
,Compensation and benefits / Compensations and benefits,
,Equal remuneration for women and men,
,Employee recruitment / Talent attraction / talent scarcity,
,Employee training / employee development / Talent Development / Succession Planning / Employee trainings,
Society,Public policy / Public policies,
,Political contributions / Political contribution,
,Responsible political involvement,
,Community involvement,
,Healthy lifestyle / Healthy lifestyles,
,Emergency preparedness,
,Social support / social investment / Social support / social investments,
,Access to services / access to service,
,Health of communities,
,Technology development / Technology access for communities,
,Education of communities / Culture of communities,
,Employment creation,
,Wealth and income creation,
,Anti-corruption,
Human rights,Human rights / Human right,
,Discrimination / vulnerable groups / vulnerable group,
,Forced labor / compulsory labor,
,Human rights risk / human rights screening / human rights investment / Human rights risks / human rights screenings / human rights investments,
,Indigenous rights / Indigenous right ,
,Avoidance of complicity,
,Civil right / political right / Civil rights / political rights,
,Economic right / social right / cultural right / Economic rights / social rights / cultural rights,
,Fundamental principles / rights at work / Fundamental principle,
,Child labour / Children labour,
Product responsibility,Consumer service / consumer support / consumer complaint / dispute resolution / Consumer services / consumer complaints / dispute resolutions / customer service / customer support / customer complaint / customer services / customer complaints,
,Sustainable consumption / Sustainable consumptions,
,Education of customers / awareness of customers / Education of customer / awareness of customer / Education of consumers / awareness of consumers / Education of consumer / awareness of consumer,
,Product and service labelling / Product labelling / service labelling,
,Organic product / organic agriculture / Organic products / organic agricultures,
,Vegetarian / flexitarian,
,Healthy food,
,Nutritional policies / Nutritional policy,
,Food safety,
,Food security,
,Animal welfare,
,Genetically-Modified Organism / Genetically-Modified Organisms,
,Fair marketing / marketing communications / marketing communication / ethical advertising,
,Customer satisfaction / consumer satisfaction,
,Loss of customers / loss of consumers / loss of customer / loss of consumer,
,Customer health / customer safety / consumer health / consumer safety,
,Product quality / product safety,
,Transport of dangerous goods / Transportation of dangerous goods,
,Customer privacy / consumer data protection / customer privacy,
,Product regulatory compliance / Product regulatory compliances,
,Product societal value / Product societal values,
Environment,Nature risks / Nature risk,
,Climate change risks / Climate change risk,
,Climate change mitigation and adaptation / Climate change mitigation / Climate change adaptation / Climate change mitigations and adaptations / Climate change mitigations / Climate change adaptations,
,Emissions / CO2 footprint / Emission / CO2 footprints,
,Greenhouse gas reduction / Greenhouse gasses reduction / Greenhouse gas reductions / Greenhouse gasses reductions,
,Pollution prevention / Pollution preventions,
,Fuel management / transportation management / transport management,
,Emissions to air / GHG / Emission to air,
,Water resource management,
,Biodiversity / eco persevation,
,Mono cropping,
,Environmental accounting / accounting for externalities,
,Waste management / waste effluents,
,Energy management,
,Energy efficiency operations / resource usage / Energy efficiency operation / resource usages,
,Materials / material,
,Materials sourcing / Material sourcing ,
,Raw materials demand / Raw material demand / Raw materials demands / Raw material demands,
,Resource scarcity,
,Sustainable resource use,
,Restricted materials management / Life Cycle Assessment / LCA / Restricted material management / Life Cycle Assessments,
,Green products / green services / Green product / green service,
,Packaging,
,Product life cycle use impact / Product life cycle use impacts,
Supply chain,Sustainability in the supply chain / Sustainability in supply chain,
,Supply chain standards / Supply chain selections / Supply chain standard / Supply chain selection,
,Disruptions in the supply chain / Disruption in the supply chain,
,Supply chain engagement / supply chain transparency,
,palm oil / palm oils,
,soy,
,Fair trade,
,True price / true prices,
,social responsibility in the value chain,
,Supplier assessment / supplier risk / Supplier assessments / supplier risks,
,Due diligence / human rights assessment / Due diligences / human rights assessments,
,Supplier environmental assessment / Supplier environmental assessments,
,Supplier assessment for labor pratices / Supplier assessment for labor pratice,
,Supplier human rights assessment / Supplier human rights assessments,
,Supplier assessment for impact on society / Supplier assessments for impact on society,
,Supplier screening / adherence to codes / adherence to code / regulations and policies in the supply chain / regulation and policies in the supply chain,
,Loss of supplier,
,Grievance mechanism / Grievance mechanisms,
,Environmental grievance mechanism / Environmental grievance mechanisms,
,Labor practices grievance mechanism / Labor practices grievance mechanisms / Labor practice grievance mechanism / Labor practices grievance mechanisms,
,Human rights grievance mechanism / Human rights grievance mechanisms,
,Grievance mechanisms for impacts on society / Grievance mechanism for impacts on society / Grievance mechanisms for impact on society / Grievance mechanism for impact on society,
,Resolving grievances,
Other,Indirect economic impacts / Indirect economic impact,
,Impact from facilities / facility impact / Impact from facility,
,Security practice / Security practices,
,Policies / standards / codes of conduct / policy / code of conduct,
,Food waste / food wastage,
,Supply chain traceability,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
